Blend,Repulsion,Speed,Gravity,Prompt,Total_Force,Length,Glitch_Count
0.0,-0.5,0.1,0.5,Logic,8.9557,256,0
0.0,-0.5,0.1,0.5,Creative,8.5970,256,0
0.0,-0.5,0.1,0.5,Ambiguity,9.2736,256,0
0.0,-0.5,0.15,0.5,Logic,8.9557,256,0
0.0,-0.5,0.15,0.5,Creative,8.5970,256,0
0.0,-0.5,0.15,0.5,Ambiguity,9.2736,256,0
0.0,-1.0,0.1,0.5,Logic,8.9557,256,0
0.0,-1.0,0.1,0.5,Creative,8.5970,256,0
0.0,-1.0,0.1,0.5,Ambiguity,9.2736,256,0
0.0,-1.0,0.15,0.5,Logic,8.9557,256,0
0.0,-1.0,0.15,0.5,Creative,8.5970,256,0
0.0,-1.0,0.15,0.5,Ambiguity,9.2736,256,0
0.0,-1.5,0.1,0.5,Logic,8.9557,256,0
0.0,-1.5,0.1,0.5,Creative,8.5970,256,0
0.0,-1.5,0.1,0.5,Ambiguity,9.2736,256,0
0.0,-1.5,0.15,0.5,Logic,8.9557,256,0
0.0,-1.5,0.15,0.5,Creative,8.5970,256,0
0.0,-1.5,0.15,0.5,Ambiguity,9.2736,256,0
0.8,-0.5,0.1,0.5,Logic,8.9660,256,0
0.8,-0.5,0.1,0.5,Creative,8.5977,256,0
0.8,-0.5,0.1,0.5,Ambiguity,9.2884,256,0
0.8,-0.5,0.15,0.5,Logic,8.9669,256,0
0.8,-0.5,0.15,0.5,Creative,8.5983,256,0
0.8,-0.5,0.15,0.5,Ambiguity,9.2740,256,0
0.8,-1.0,0.1,0.5,Logic,8.9649,256,0
0.8,-1.0,0.1,0.5,Creative,8.5976,256,0
0.8,-1.0,0.1,0.5,Ambiguity,9.2939,256,0
0.8,-1.0,0.15,0.5,Logic,8.9647,256,0
0.8,-1.0,0.15,0.5,Creative,8.5969,256,0
0.8,-1.0,0.15,0.5,Ambiguity,9.2759,256,0
0.8,-1.5,0.1,0.5,Logic,8.9719,256,0
0.8,-1.5,0.1,0.5,Creative,8.5984,256,0
0.8,-1.5,0.1,0.5,Ambiguity,9.2887,256,0
0.8,-1.5,0.15,0.5,Logic,8.9616,256,0
0.8,-1.5,0.15,0.5,Creative,8.5942,256,0
0.8,-1.5,0.15,0.5,Ambiguity,9.2899,256,0
1.0,-0.5,0.1,0.5,Logic,8.9613,256,0
1.0,-0.5,0.1,0.5,Creative,8.6017,256,0
1.0,-0.5,0.1,0.5,Ambiguity,9.2796,256,0
1.0,-0.5,0.15,0.5,Logic,8.9597,256,0
1.0,-0.5,0.15,0.5,Creative,8.6040,256,0
1.0,-0.5,0.15,0.5,Ambiguity,9.2732,256,0
1.0,-1.0,0.1,0.5,Logic,8.9636,256,0
1.0,-1.0,0.1,0.5,Creative,8.6035,256,0
1.0,-1.0,0.1,0.5,Ambiguity,9.2744,256,0
1.0,-1.0,0.15,0.5,Logic,8.9605,256,0
1.0,-1.0,0.15,0.5,Creative,8.5990,256,0
1.0,-1.0,0.15,0.5,Ambiguity,9.2737,256,0
1.0,-1.5,0.1,0.5,Logic,8.9619,256,0
1.0,-1.5,0.1,0.5,Creative,8.6045,256,0
1.0,-1.5,0.1,0.5,Ambiguity,9.2741,256,0
1.0,-1.5,0.15,0.5,Logic,8.9626,256,0
1.0,-1.5,0.15,0.5,Creative,8.5998,256,0
1.0,-1.5,0.15,0.5,Ambiguity,9.2754,256,0
1.2,-0.5,0.1,0.5,Logic,8.9640,256,0
1.2,-0.5,0.1,0.5,Creative,8.6017,256,0
1.2,-0.5,0.1,0.5,Ambiguity,9.2803,256,0
1.2,-0.5,0.15,0.5,Logic,8.9693,256,0
1.2,-0.5,0.15,0.5,Creative,8.6046,256,0
1.2,-0.5,0.15,0.5,Ambiguity,8.8869,169,0
1.2,-1.0,0.1,0.5,Logic,8.9661,256,0
1.2,-1.0,0.1,0.5,Creative,8.5970,256,0
1.2,-1.0,0.1,0.5,Ambiguity,9.2806,256,0
1.2,-1.0,0.15,0.5,Logic,8.9644,256,0
1.2,-1.0,0.15,0.5,Creative,6.5737,105,0
1.2,-1.0,0.15,0.5,Ambiguity,9.2768,256,0
1.2,-1.5,0.1,0.5,Logic,8.9643,256,0
1.2,-1.5,0.1,0.5,Creative,8.5974,256,0
1.2,-1.5,0.1,0.5,Ambiguity,9.2781,256,0
1.2,-1.5,0.15,0.5,Logic,8.9589,256,0
