Blend,Repulsion,Speed,Gravity,Layer,Latency,Glitches,StopReason,AvgGrav,AvgRep,AvgGhost
0.8,-0.5,0.1,0.5,16,8.75,0,MAX_STEPS,0.0171,0.0000,9.5312
0.8,-0.5,0.1,1.0,16,8.77,0,MAX_STEPS,0.0102,0.0000,9.5312
0.8,-0.5,0.15,0.5,16,8.99,0,MAX_STEPS,0.0169,0.0000,9.5312
0.8,-0.5,0.15,1.0,16,9.27,0,MAX_STEPS,0.0203,0.0000,9.5313
0.8,-0.5,0.2,0.5,16,9.47,0,MAX_STEPS,0.0255,0.0000,9.5313
0.8,-0.5,0.2,1.0,16,9.76,0,MAX_STEPS,0.0171,0.0000,9.5312
0.8,-1.0,0.1,0.5,16,9.91,0,MAX_STEPS,0.0166,0.0000,9.5313
0.8,-1.0,0.1,1.0,16,10.74,0,MAX_STEPS,0.0112,0.0000,9.5313
0.8,-1.0,0.15,0.5,16,10.30,0,MAX_STEPS,0.0158,0.0000,9.5312
0.8,-1.0,0.15,1.0,16,10.42,0,MAX_STEPS,0.0125,0.0000,9.5313
0.8,-1.0,0.2,0.5,16,10.32,0,MAX_STEPS,0.0192,0.0000,9.5312
0.8,-1.0,0.2,1.0,16,10.59,0,MAX_STEPS,0.0193,0.0000,9.5312
0.8,-2.0,0.1,0.5,16,10.65,0,MAX_STEPS,0.0166,0.0000,9.5312
0.8,-2.0,0.1,1.0,16,10.69,0,MAX_STEPS,0.0135,0.0000,9.5313
0.8,-2.0,0.15,0.5,16,10.81,0,MAX_STEPS,0.0186,0.0000,9.5313
0.8,-2.0,0.15,1.0,16,10.93,0,MAX_STEPS,0.0144,0.0000,9.5312
0.8,-2.0,0.2,0.5,16,11.46,0,MAX_STEPS,0.0232,0.0000,9.5313
0.8,-2.0,0.2,1.0,16,11.37,0,MAX_STEPS,0.0217,0.0000,9.5313
1.0,-0.5,0.1,0.5,16,11.52,1,MAX_STEPS,0.0337,0.0000,9.5313
1.0,-0.5,0.1,1.0,16,11.83,0,MAX_STEPS,0.0151,0.0000,9.5313
1.0,-0.5,0.15,0.5,16,11.42,0,MAX_STEPS,0.0114,0.0000,9.5312
1.0,-0.5,0.15,1.0,16,11.81,0,MAX_STEPS,0.0154,0.0000,9.5312
1.0,-0.5,0.2,0.5,16,12.35,0,MAX_STEPS,0.0103,0.0000,9.5312
