Blend,Repulsion,Speed,Gravity,Prompt,Total_Force,Length,Glitch_Count
1.0,-0.5,0.1,0.2,Logic,9.4636,256,1
1.0,-0.5,0.1,0.2,Creative,9.5364,256,0
1.0,-0.5,0.1,0.2,Ambiguity,9.4620,256,2
1.0,-0.5,0.1,0.5,Logic,9.4661,256,2
1.0,-0.5,0.1,0.5,Creative,9.5378,256,0
1.0,-0.5,0.1,0.5,Ambiguity,9.4954,256,2
1.0,-0.5,0.1,0.8,Logic,9.5022,256,2
1.0,-0.5,0.1,0.8,Creative,9.5440,256,0
1.0,-0.5,0.1,0.8,Ambiguity,9.5142,256,2
1.0,-0.5,0.2,0.2,Logic,9.4627,256,1
1.0,-0.5,0.2,0.2,Creative,9.5357,256,0
1.0,-0.5,0.2,0.2,Ambiguity,9.4691,256,1
1.0,-0.5,0.2,0.5,Logic,9.4648,256,1
1.0,-0.5,0.2,0.5,Creative,9.5362,256,0
1.0,-0.5,0.2,0.5,Ambiguity,9.4720,256,1
1.0,-0.5,0.2,0.8,Logic,9.4680,256,1
1.0,-0.5,0.2,0.8,Creative,9.5473,256,0
1.0,-0.5,0.2,0.8,Ambiguity,9.5010,256,2
1.0,-1.0,0.1,0.2,Logic,9.4601,256,1
1.0,-1.0,0.1,0.2,Creative,9.5350,256,0
1.0,-1.0,0.1,0.2,Ambiguity,9.4739,256,1
1.0,-1.0,0.1,0.5,Logic,9.4818,256,1
1.0,-1.0,0.1,0.5,Creative,9.5457,256,0
1.0,-1.0,0.1,0.5,Ambiguity,9.4717,256,2
1.0,-1.0,0.1,0.8,Logic,9.4847,256,1
1.0,-1.0,0.1,0.8,Creative,9.5522,256,0
1.0,-1.0,0.1,0.8,Ambiguity,9.4739,256,2
1.0,-1.0,0.2,0.2,Logic,9.4582,256,1
1.0,-1.0,0.2,0.2,Creative,9.5361,256,0
1.0,-1.0,0.2,0.2,Ambiguity,9.4682,256,1
1.0,-1.0,0.2,0.5,Logic,9.4730,256,1
1.0,-1.0,0.2,0.5,Creative,9.5417,256,0
1.0,-1.0,0.2,0.5,Ambiguity,9.4808,256,4
1.0,-1.0,0.2,0.8,Logic,9.4766,256,1
1.0,-1.0,0.2,0.8,Creative,9.5390,256,0
1.0,-1.0,0.2,0.8,Ambiguity,9.4788,256,2
1.0,-1.5,0.1,0.2,Logic,9.4585,256,1
1.0,-1.5,0.1,0.2,Creative,9.5362,256,0
1.0,-1.5,0.1,0.2,Ambiguity,9.4678,256,1
1.0,-1.5,0.1,0.5,Logic,9.4713,256,1
1.0,-1.5,0.1,0.5,Creative,9.5430,256,0
1.0,-1.5,0.1,0.5,Ambiguity,9.4883,256,3
1.0,-1.5,0.1,0.8,Logic,9.4816,256,1
1.0,-1.5,0.1,0.8,Creative,9.5440,256,0
1.0,-1.5,0.1,0.8,Ambiguity,9.4834,256,2
1.0,-1.5,0.2,0.2,Logic,9.4592,256,1
1.0,-1.5,0.2,0.2,Creative,9.5352,256,0
1.0,-1.5,0.2,0.2,Ambiguity,9.4716,256,1
1.0,-1.5,0.2,0.5,Logic,9.4677,256,1
1.0,-1.5,0.2,0.5,Creative,9.5367,256,0
1.0,-1.5,0.2,0.5,Ambiguity,9.4820,256,1
1.0,-1.5,0.2,0.8,Logic,9.4644,256,1
1.0,-1.5,0.2,0.8,Creative,9.5399,256,0
1.0,-1.5,0.2,0.8,Ambiguity,9.4771,256,2
